date_key,date,year,quarter,month,month_name,week_of_year,day,day_name,day_of_week,is_weekend
20210618,2021-06-18,2021,2,6,June,24,18,Friday,6,false
20210619,2021-06-19,2021,2,6,June,24,19,Saturday,7,true
20210620,2021-06-20,2021,2,6,June,24,20,Sunday,1,true
20210621,2021-06-21,2021,2,6,June,25,21,Monday,2,false
20210622,2021-06-22,2021,2,6,June,25,22,Tuesday,3,false
20210623,2021-06-23,2021,2,6,June,25,23,Wednesday,4,false
20210624,2021-06-24,2021,2,6,June,25,24,Thursday,5,false
20210625,2021-06-25,2021,2,6,June,25,25,Friday,6,false
20210626,2021-06-26,2021,2,6,June,25,26,Saturday,7,true
20210627,2021-06-27,2021,2,6,June,25,27,Sunday,1,true
20210628,2021-06-28,2021,2,6,June,26,28,Monday,2,false
20210629,2021-06-29,2021,2,6,June,26,29,Tuesday,3,false
20210630,2021-06-30,2021,2,6,June,26,30,Wednesday,4,false
20210701,2021-07-01,2021,3,7,July,26,1,Thursday,5,false
20210702,2021-07-02,2021,3,7,July,26,2,Friday,6,false
20210703,2021-07-03,2021,3,7,July,26,3,Saturday,7,true
20210704,2021-07-04,2021,3,7,July,26,4,Sunday,1,true
20210705,2021-07-05,2021,3,7,July,27,5,Monday,2,false
20210706,2021-07-06,2021,3,7,July,27,6,Tuesday,3,false
20210707,2021-07-07,2021,3,7,July,27,7,Wednesday,4,false
20210708,2021-07-08,2021,3,7,July,27,8,Thursday,5,false
20210709,2021-07-09,2021,3,7,July,27,9,Friday,6,false
20210710,2021-07-10,2021,3,7,July,27,10,Saturday,7,true
20210711,2021-07-11,2021,3,7,July,27,11,Sunday,1,true
20210712,2021-07-12,2021,3,7,July,28,12,Monday,2,false
20210713,2021-07-13,2021,3,7,July,28,13,Tuesday,3,false
20210714,2021-07-14,2021,3,7,July,28,14,Wednesday,4,false
20210715,2021-07-15,2021,3,7,July,28,15,Thursday,5,false
20210716,2021-07-16,2021,3,7,July,28,16,Friday,6,false
20210717,2021-07-17,2021,3,7,July,28,17,Saturday,7,true
20210718,2021-07-18,2021,3,7,July,28,18,Sunday,1,true
20210719,2021-07-19,2021,3,7,July,29,19,Monday,2,false
20210720,2021-07-20,2021,3,7,July,29,20,Tuesday,3,false
20210721,2021-07-21,2021,3,7,July,29,21,Wednesday,4,false
20210722,2021-07-22,2021,3,7,July,29,22,Thursday,5,false
20210723,2021-07-23,2021,3,7,July,29,23,Friday,6,false
20210724,2021-07-24,2021,3,7,July,29,24,Saturday,7,true
20210725,2021-07-25,2021,3,7,July,29,25,Sunday,1,true
20210726,2021-07-26,2021,3,7,July,30,26,Monday,2,false
20210727,2021-07-27,2021,3,7,July,30,27,Tuesday,3,false
20210728,2021-07-28,2021,3,7,July,30,28,Wednesday,4,false
20210729,2021-07-29,2021,3,7,July,30,29,Thursday,5,false
20210730,2021-07-30,2021,3,7,July,30,30,Friday,6,false
20210731,2021-07-31,2021,3,7,July,30,31,Saturday,7,true
20210801,2021-08-01,2021,3,8,August,30,1,Sunday,1,true
20210802,2021-08-02,2021,3,8,August,31,2,Monday,2,false
20210803,2021-08-03,2021,3,8,August,31,3,Tuesday,3,false
20210804,2021-08-04,2021,3,8,August,31,4,Wednesday,4,false
20210805,2021-08-05,2021,3,8,August,31,5,Thursday,5,false
20210806,2021-08-06,2021,3,8,August,31,6,Friday,6,false
20210807,2021-08-07,2021,3,8,August,31,7,Saturday,7,true
20210808,2021-08-08,2021,3,8,August,31,8,Sunday,1,true
20210809,2021-08-09,2021,3,8,August,32,9,Monday,2,false
20210810,2021-08-10,2021,3,8,August,32,10,Tuesday,3,false
20210811,2021-08-11,2021,3,8,August,32,11,Wednesday,4,false
20210812,2021-08-12,2021,3,8,August,32,12,Thursday,5,false
20210813,2021-08-13,2021,3,8,August,32,13,Friday,6,false
20210814,2021-08-14,2021,3,8,August,32,14,Saturday,7,true
20210815,2021-08-15,2021,3,8,August,32,15,Sunday,1,true
20210816,2021-08-16,2021,3,8,August,33,16,Monday,2,false
20210817,2021-08-17,2021,3,8,August,33,17,Tuesday,3,false
20210818,2021-08-18,2021,3,8,August,33,18,Wednesday,4,false
20210819,2021-08-19,2021,3,8,August,33,19,Thursday,5,false
20210820,2021-08-20,2021,3,8,August,33,20,Friday,6,false
20210821,2021-08-21,2021,3,8,August,33,21,Saturday,7,true
20210822,2021-08-22,2021,3,8,August,33,22,Sunday,1,true
20210823,2021-08-23,2021,3,8,August,34,23,Monday,2,false
20210824,2021-08-24,2021,3,8,August,34,24,Tuesday,3,false
20210825,2021-08-25,2021,3,8,August,34,25,Wednesday,4,false
20210826,2021-08-26,2021,3,8,August,34,26,Thursday,5,false
20210827,2021-08-27,2021,3,8,August,34,27,Friday,6,false
20210828,2021-08-28,2021,3,8,August,34,28,Saturday,7,true
20210829,2021-08-29,2021,3,8,August,34,29,Sunday,1,true
20210830,2021-08-30,2021,3,8,August,35,30,Monday,2,false
20210831,2021-08-31,2021,3,8,August,35,31,Tuesday,3,false
20210901,2021-09-01,2021,3,9,September,35,1,Wednesday,4,false
20210902,2021-09-02,2021,3,9,September,35,2,Thursday,5,false
20210903,2021-09-03,2021,3,9,September,35,3,Friday,6,false
20210904,2021-09-04,2021,3,9,September,35,4,Saturday,7,true
20210905,2021-09-05,2021,3,9,September,35,5,Sunday,1,true
20210906,2021-09-06,2021,3,9,September,36,6,Monday,2,false
20210907,2021-09-07,2021,3,9,September,36,7,Tuesday,3,false
20210908,2021-09-08,2021,3,9,September,36,8,Wednesday,4,false
20210909,2021-09-09,2021,3,9,September,36,9,Thursday,5,false
20210910,2021-09-10,2021,3,9,September,36,10,Friday,6,false
20210911,2021-09-11,2021,3,9,September,36,11,Saturday,7,true
20210912,2021-09-12,2021,3,9,September,36,12,Sunday,1,true
20210913,2021-09-13,2021,3,9,September,37,13,Monday,2,false
20210914,2021-09-14,2021,3,9,September,37,14,Tuesday,3,false
20210915,2021-09-15,2021,3,9,September,37,15,Wednesday,4,false
20210916,2021-09-16,2021,3,9,September,37,16,Thursday,5,false
20210917,2021-09-17,2021,3,9,September,37,17,Friday,6,false
20210918,2021-09-18,2021,3,9,September,37,18,Saturday,7,true
20210919,2021-09-19,2021,3,9,September,37,19,Sunday,1,true
20210920,2021-09-20,2021,3,9,September,38,20,Monday,2,false
20210921,2021-09-21,2021,3,9,September,38,21,Tuesday,3,false
